Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
CYGNI: All Guns Blazing,Shooter,KeelWorks,KeelWorks,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
"<span data-sort-value=""Dark Pictures Anthology: House of Ashes !"">The Dark Pictures Anthology: House of Ashes","Interactive drama
survival horror",Supermassive Games,Bandai Namco Entertainment,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB,
DARQ: Complete Edition,Psychological horror,Unfold Games,Feardemic,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Dawn of the Monsters,Beat 'em up,13AM Games,WayForward,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[5]
Dead by Daylight,Survival horror,Behaviour Interactive,Behaviour Interactive,"<span data-sort-value=""000000002020-11-11-0000"" style=""white-space:nowrap"">Nov 11, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020",CB CP,
Deathloop,Action-adventure,Arkane Studios,Bethesda Softworks,"<span data-sort-value=""000000002021-05-21-0000"" style=""white-space:nowrap"">May 21, 2021","<span data-sort-value=""000000002021-05-21-0000"" style=""white-space:nowrap"">May 21, 2021","<span data-sort-value=""000000002021-05-21-0000"" style=""white-space:nowrap"">May 21, 2021",,
Demon's Souls,Action role-playing,"Bluepoint Games
SIE Japan Studio",Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Destiny 2,First-person shooter,Bungie,Bungie,"<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020","<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020","<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020",CB CP,
Destruction AllStars,Vehicular combat,"Lucid Games
Wushu Studios",Sony Interactive Entertainment,"<span data-sort-value=""000000002021-02-01-0000"" style=""white-space:nowrap"">Feb 2021","<span data-sort-value=""000000002021-02-01-0000"" style=""white-space:nowrap"">Feb 2021","<span data-sort-value=""000000002021-02-01-0000"" style=""white-space:nowrap"">Feb 2021",,
Devil May Cry 5 Special Edition,"Action-adventure
hack and slash",Capcom,Capcom,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
