"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x24742040","x1323439997991723009",2020-11-03 01:40:58,"Xbox","@MartinezDom36 Hey, happy birthday!","Sprinklr Publishing",20,"x1323432337003089927","x1957910738","MartinezDom36",FALSE,FALSE,248,0,,,,,,,,,,,,,,,,"x1957910738","MartinezDom36","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323439997991723009","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323432206405111811",2020-11-03 01:10:00,"Xbox","@Dvastator The third option, play both.","Sprinklr Publishing",28,"x1323420079925698561","x243888476","Dvastator",FALSE,FALSE,17,1,,,,,,,,,,,,,,,,"x243888476","Dvastator","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323432206405111811","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323431735418220545",2020-11-03 01:08:08,"Xbox","The future of gaming at Xbox revolves around you https://t.co/AIF5FzEIJo","Twitter Media Studio",48,,,,FALSE,FALSE,15867,1280,,,,,,,,"http://pbs.twimg.com/media/El3FLjeVMAEtbUn.jpg","https://t.co/AIF5FzEIJo","https://twitter.com/Xbox/status/1323431735418220545/video/1","photo","http://pbs.twimg.com/media/El3FLjeVMAEtbUn.jpg","https://t.co/AIF5FzEIJo","https://twitter.com/Xbox/status/1323431735418220545/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323431735418220545","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323431558800412674",2020-11-03 01:07:26,"Xbox","@DanHevia Taco ‘bout a good way to start the week <U+0001F32E> Congratulations!","Sprinklr Publishing",58,"x1323309040332611584","x25144151","DanHevia",FALSE,FALSE,17,1,,,,,,,,,,,,,,,,"x25144151","DanHevia","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323431558800412674","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323424542010855424",2020-11-03 00:39:33,"Xbox","@navyjedi87 Same to you, friend! https://t.co/fn5HXf5Tra","Sprinklr Publishing",20,"x1323409812433047553","x952515835163303936","navyjedi87",FALSE,FALSE,66,0,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/El2_lj1XUAMCNTa.jpg","https://t.co/fn5HXf5Tra","https://twitter.com/Xbox/status/1323424542010855424/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El2_lj1XUAMCNTa.jpg","https://t.co/fn5HXf5Tra","https://twitter.com/Xbox/status/1323424542010855424/photo/1",,"x952515835163303936","navyjedi87","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323424542010855424","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323421492680577025",2020-11-03 00:27:26,"Xbox","@VioTCZ <U+1D52><U+02B0> n<U+1D52> <U+02B7><U+02B0><U+1D43><U+1D57> <U+1D48><U+2071><U+1D48> <U+02B8><U+1D52><U+1D58> <U+1D48><U+1D52>","Sprinklr Publishing",21,"x1323414008876158976","x3095708939","VioTCZ",FALSE,FALSE,116,1,,,,,,,,,,,,,,,,"x3095708939","VioTCZ","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323421492680577025","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323418844090847232",2020-11-03 00:16:55,"Xbox","@ScottPorter You've got a whole new world out there to explore.  And that loot isn't going to loot itself.","Sprinklr Publishing",93,"x1323408827610353664","x322786017","ScottPorter",FALSE,FALSE,53,0,,,,,,,,,,,,,,,,"x322786017","ScottPorter","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323418844090847232","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323418711420751873",2020-11-03 00:16:23,"Xbox","@fabiangib Have fun with whatever you play!","Sprinklr Publishing",32,"x1323411809412521990","x478850595","fabiangib",FALSE,FALSE,6,0,,,,,,,,,,,,,,,,"x478850595","fabiangib","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323418711420751873","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323418521561387008",2020-11-03 00:15:38,"Xbox","@PLdestroyer Well, we might be the wrong people to offer and objective answer to that question... but you should absolutely buy whichever one you think you'll have the most fun with!","Sprinklr Publishing",169,"x1323406565454581760","x1263291283847725057","PLdestroyer",FALSE,FALSE,213,15,,,,,,,,,,,,,,,,"x1263291283847725057","PLdestroyer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323418521561387008","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
"x24742040","x1323416098499428352",2020-11-03 00:06:00,"Xbox","@Dansgaming ODAN IS WITH US! https://t.co/d7ym9Av0ec","Sprinklr Publishing",16,"x1323396230223941636","x122439303","Dansgaming",FALSE,FALSE,551,9,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/El235ukWkAM05YK.jpg","https://t.co/d7ym9Av0ec","https://twitter.com/Xbox/status/1323416098499428352/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/El235ukWkAM05YK.jpg","https://t.co/d7ym9Av0ec","https://twitter.com/Xbox/status/1323416098499428352/photo/1",,"x122439303","Dansgaming","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Xbox/status/1323416098499428352","Xbox","Redmond, WA","Dream with us. The latest in Xbox news, updates, and next-gen experiences #PowerYourDreams For support: @XboxSupport","https://t.co/aigkgbMkRg",FALSE,15058819,16572,18372,269314,3289,2009-03-16 18:30:52,TRUE,"https://t.co/aigkgbMkRg","http://Xbox.com",,"https://pbs.twimg.com/profile_banners/24742040/1605369680","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1327642948561879045/ds2b-AzD_normal.jpg"
